world,node,child,value_0.2_0,value_0.2_0.1,value_0.2_0.2,value_0.2_0.3,value_0.2_0.4,value_0.2_0.5,value_0.2_0.6,value_0.2_0.7,value_0.2_0.8,value_0.2_0.9,value_0.2_1,value_0.28_0,value_0.28_0.1,value_0.28_0.2,value_0.28_0.3,value_0.28_0.4,value_0.28_0.5,value_0.28_0.6,value_0.28_0.7,value_0.28_0.8,value_0.28_0.9,value_0.28_1,value_0.391_0,value_0.391_0.1,value_0.391_0.2,value_0.391_0.3,value_0.391_0.4,value_0.391_0.5,value_0.391_0.6,value_0.391_0.7,value_0.391_0.8,value_0.391_0.9,value_0.391_1,value_0.547_0,value_0.547_0.1,value_0.547_0.2,value_0.547_0.3,value_0.547_0.4,value_0.547_0.5,value_0.547_0.6,value_0.547_0.7,value_0.547_0.8,value_0.547_0.9,value_0.547_1,value_0.765_0,value_0.765_0.1,value_0.765_0.2,value_0.765_0.3,value_0.765_0.4,value_0.765_0.5,value_0.765_0.6,value_0.765_0.7,value_0.765_0.8,value_0.765_0.9,value_0.765_1,value_1.07_0,value_1.07_0.1,value_1.07_0.2,value_1.07_0.3,value_1.07_0.4,value_1.07_0.5,value_1.07_0.6,value_1.07_0.7,value_1.07_0.8,value_1.07_0.9,value_1.07_1,value_1.496_0,value_1.496_0.1,value_1.496_0.2,value_1.496_0.3,value_1.496_0.4,value_1.496_0.5,value_1.496_0.6,value_1.496_0.7,value_1.496_0.8,value_1.496_0.9,value_1.496_1,value_2.092_0,value_2.092_0.1,value_2.092_0.2,value_2.092_0.3,value_2.092_0.4,value_2.092_0.5,value_2.092_0.6,value_2.092_0.7,value_2.092_0.8,value_2.092_0.9,value_2.092_1,value_2.925_0,value_2.925_0.1,value_2.925_0.2,value_2.925_0.3,value_2.925_0.4,value_2.925_0.5,value_2.925_0.6,value_2.925_0.7,value_2.925_0.8,value_2.925_0.9,value_2.925_1,value_4.091_0,value_4.091_0.1,value_4.091_0.2,value_4.091_0.3,value_4.091_0.4,value_4.091_0.5,value_4.091_0.6,value_4.091_0.7,value_4.091_0.8,value_4.091_0.9,value_4.091_1,value_5.721_0,value_5.721_0.1,value_5.721_0.2,value_5.721_0.3,value_5.721_0.4,value_5.721_0.5,value_5.721_0.6,value_5.721_0.7,value_5.721_0.8,value_5.721_0.9,value_5.721_1,value_8_0,value_8_0.1,value_8_0.2,value_8_0.3,value_8_0.4,value_8_0.5,value_8_0.6,value_8_0.7,value_8_0.8,value_8_0.9,value_8_1
4ways_mirror,N68046,N53960,0.0,0.0,0.0025,0.1824,0.9525,0.9994,1.0,1.0,1.0,1.0,1.0,0.0,0.0006,0.0136,0.2548,0.8944,0.9952,0.9998,1.0,1.0,1.0,1.0,0.0005,0.0046,0.0442,0.3149,0.8186,0.9773,0.9974,0.9997,0.9999,1.0,1.0,0.0041,0.0209,0.0987,0.3578,0.7354,0.9304,0.9837,0.996,0.9989,0.9996,0.9999,0.0191,0.0585,0.1647,0.3815,0.6537,0.8483,0.9405,0.9769,0.9906,0.996,0.9982,0.054,0.1144,0.2241,0.3891,0.5797,0.7447,0.8571,0.9227,0.9583,0.9771,0.9872,0.1061,0.1728,0.2672,0.3863,0.5175,0.6431,0.7487,0.8288,0.8855,0.9238,0.9492,0.1614,0.2214,0.2946,0.3784,0.4684,0.5584,0.6427,0.7173,0.78,0.8308,0.8708,0.2088,0.2569,0.3108,0.3694,0.4312,0.494,0.5559,0.6151,0.67,0.7196,0.7636,0.245,0.2812,0.3201,0.3611,0.4037,0.4473,0.491,0.5344,0.5766,0.6172,0.6556,0.271,0.2976,0.3254,0.3542,0.3838,0.414,0.4446,0.4753,0.5058,0.5361,0.5657,0.2894,0.3087,0.3285,0.3488,0.3695,0.3905,0.4118,0.4333,0.4549,0.4766,0.4981
4ways_mirror,N68046,N42350,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0012,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0005,0.0013,0.0034,0.0068,0.0049,0.0016,0.0005,0.0001,0.0,0.0,0.0,0.0041,0.0084,0.0159,0.0231,0.019,0.0096,0.0041,0.0017,0.0007,0.0003,0.0001,0.0191,0.0304,0.0446,0.0537,0.0479,0.0323,0.0186,0.0101,0.0053,0.0028,0.0014,0.054,0.0717,0.088,0.0958,0.0894,0.072,0.0519,0.035,0.0228,0.0146,0.0092,0.1061,0.1237,0.1369,0.1417,0.1359,0.1209,0.1008,0.0799,0.0611,0.0456,0.0336,0.1614,0.1744,0.1826,0.1848,0.18,0.169,0.1532,0.1346,0.1153,0.0967,0.0798,0.2088,0.2165,0.2208,0.2212,0.2176,0.2102,0.1993,0.1859,0.1707,0.1545,0.1382,0.245,0.2489,0.2507,0.2503,0.2476,0.2428,0.2359,0.2271,0.2169,0.2054,0.1931,0.271,0.2727,0.2732,0.2725,0.2706,0.2674,0.2632,0.2578,0.2514,0.2441,0.2361,0.2894,0.29,0.2899,0.2891,0.2877,0.2857,0.2831,0.2798,0.2759,0.2715,0.2666
4ways_mirror,N68046,N46824,1.0,1.0,0.9975,0.8175,0.0474,0.0006,0.0,0.0,0.0,0.0,0.0,1.0,0.9994,0.986,0.744,0.1049,0.0047,0.0002,0.0,0.0,0.0,0.0,0.9991,0.9941,0.9523,0.6783,0.1765,0.0211,0.0022,0.0002,0.0,0.0,0.0,0.9918,0.9707,0.8854,0.6192,0.2456,0.0599,0.0122,0.0024,0.0005,0.0001,0.0,0.9619,0.911,0.7907,0.5648,0.2984,0.1194,0.0408,0.0131,0.0041,0.0013,0.0004,0.8919,0.814,0.6879,0.5151,0.3309,0.1833,0.091,0.0422,0.0189,0.0083,0.0036,0.7879,0.7035,0.5959,0.472,0.3465,0.236,0.1505,0.0913,0.0534,0.0306,0.0172,0.6772,0.6042,0.5228,0.4368,0.3516,0.2726,0.2041,0.1481,0.1048,0.0726,0.0495,0.5824,0.5266,0.4684,0.4093,0.3512,0.2958,0.2447,0.199,0.1594,0.1259,0.0982,0.51,0.4699,0.4292,0.3886,0.3487,0.31,0.2731,0.2385,0.2065,0.1774,0.1513,0.4579,0.4296,0.4014,0.3733,0.3456,0.3185,0.2923,0.267,0.2428,0.2198,0.1982,0.4211,0.4013,0.3816,0.3621,0.3428,0.3238,0.3051,0.2869,0.2691,0.2519,0.2353
4ways_mirror,N93564,N47858,0.0,0.0,0.0001,0.0025,0.0474,0.5,0.9526,0.9975,0.9999,1.0,1.0,0.0,0.0002,0.0016,0.0136,0.105,0.5,0.895,0.9864,0.9984,0.9998,1.0,0.0005,0.0022,0.0099,0.0444,0.1773,0.5,0.8227,0.9556,0.9901,0.9978,0.9995,0.0041,0.0123,0.0359,0.1003,0.2503,0.5,0.7497,0.8997,0.9641,0.9877,0.9959,0.0194,0.0416,0.0868,0.1724,0.3134,0.5,0.6866,0.8276,0.9132,0.9584,0.9806,0.0571,0.096,0.1568,0.2457,0.3634,0.5,0.6366,0.7543,0.8432,0.904,0.9429,0.1186,0.1674,0.2309,0.3096,0.4011,0.5,0.5989,0.6904,0.7691,0.8326,0.8814,0.1925,0.241,0.2973,0.3604,0.4288,0.5,0.5712,0.6396,0.7027,0.759,0.8075,0.2639,0.3057,0.3508,0.3989,0.4489,0.5,0.5511,0.6011,0.6492,0.6943,0.7361,0.3245,0.3574,0.3917,0.4272,0.4634,0.5,0.5366,0.5728,0.6083,0.6426,0.6755,0.3718,0.3966,0.422,0.4478,0.4738,0.5,0.5262,0.5522,0.578,0.6034,0.6282,0.4073,0.4256,0.444,0.4626,0.4813,0.5,0.5187,0.5374,0.556,0.5744,0.5927
4ways_mirror,N93564,N31791,1.0,1.0,0.9999,0.9975,0.9526,0.5,0.0474,0.0025,0.0001,0.0,0.0,1.0,0.9998,0.9984,0.9864,0.895,0.5,0.105,0.0136,0.0016,0.0002,0.0,0.9995,0.9978,0.9901,0.9556,0.8227,0.5,0.1773,0.0444,0.0099,0.0022,0.0005,0.9959,0.9877,0.9641,0.8997,0.7497,0.5,0.2503,0.1003,0.0359,0.0123,0.0041,0.9806,0.9584,0.9132,0.8276,0.6866,0.5,0.3134,0.1724,0.0868,0.0416,0.0194,0.9429,0.904,0.8432,0.7543,0.6366,0.5,0.3634,0.2457,0.1568,0.096,0.0571,0.8814,0.8326,0.7691,0.6904,0.5989,0.5,0.4011,0.3096,0.2309,0.1674,0.1186,0.8075,0.759,0.7027,0.6396,0.5712,0.5,0.4288,0.3604,0.2973,0.241,0.1925,0.7361,0.6943,0.6492,0.6011,0.5511,0.5,0.4489,0.3989,0.3508,0.3057,0.2639,0.6755,0.6426,0.6083,0.5728,0.5366,0.5,0.4634,0.4272,0.3917,0.3574,0.3245,0.6282,0.6034,0.578,0.5522,0.5262,0.5,0.4738,0.4478,0.422,0.3966,0.3718,0.5927,0.5744,0.556,0.5374,0.5187,0.5,0.4813,0.4626,0.444,0.4256,0.4073
4ways_mirror,N21757,N19849,0.5,0.7311,0.8808,0.9526,0.982,0.9933,0.9975,0.9991,0.9997,0.9999,1.0,0.5,0.6713,0.8067,0.895,0.9457,0.9727,0.9864,0.9933,0.9967,0.9984,0.9992,0.5,0.6252,0.7356,0.8227,0.8855,0.9281,0.9556,0.9729,0.9836,0.9901,0.994,0.5,0.5904,0.6751,0.7497,0.8119,0.8615,0.8997,0.9282,0.9491,0.9641,0.9748,0.5,0.565,0.6278,0.6866,0.74,0.787,0.8276,0.8618,0.8901,0.9132,0.9318,0.5,0.5466,0.5924,0.6366,0.6787,0.718,0.7543,0.7872,0.8169,0.8432,0.8664,0.5,0.5334,0.5664,0.5989,0.6306,0.6612,0.6904,0.7183,0.7445,0.7691,0.792,0.5,0.5239,0.5477,0.5712,0.5945,0.6173,0.6396,0.6613,0.6824,0.7027,0.7223,0.5,0.5171,0.5341,0.5511,0.568,0.5846,0.6011,0.6174,0.6334,0.6492,0.6646,0.5,0.5122,0.5244,0.5366,0.5487,0.5608,0.5728,0.5847,0.5965,0.6083,0.6198,0.5,0.5087,0.5175,0.5262,0.5349,0.5436,0.5522,0.5609,0.5695,0.578,0.5865,0.5,0.5062,0.5125,0.5187,0.525,0.5312,0.5374,0.5436,0.5498,0.556,0.5622
4ways_mirror,N21757,N36492,0.5,0.2689,0.1192,0.0474,0.018,0.0067,0.0025,0.0009,0.0003,0.0001,0.0,0.5,0.3287,0.1933,0.105,0.0543,0.0273,0.0136,0.0067,0.0033,0.0016,0.0008,0.5,0.3748,0.2644,0.1773,0.1145,0.0719,0.0444,0.0271,0.0164,0.0099,0.006,0.5,0.4096,0.3249,0.2503,0.1881,0.1385,0.1003,0.0718,0.0509,0.0359,0.0252,0.5,0.435,0.3722,0.3134,0.26,0.213,0.1724,0.1382,0.1099,0.0868,0.0682,0.5,0.4534,0.4076,0.3634,0.3213,0.282,0.2457,0.2128,0.1831,0.1568,0.1336,0.5,0.4666,0.4336,0.4011,0.3694,0.3388,0.3096,0.2817,0.2555,0.2309,0.208,0.5,0.4761,0.4523,0.4288,0.4055,0.3827,0.3604,0.3387,0.3176,0.2973,0.2777,0.5,0.4829,0.4659,0.4489,0.432,0.4154,0.3989,0.3826,0.3666,0.3508,0.3354,0.5,0.4878,0.4756,0.4634,0.4513,0.4392,0.4272,0.4153,0.4035,0.3917,0.3802,0.5,0.4913,0.4825,0.4738,0.4651,0.4564,0.4478,0.4391,0.4305,0.422,0.4135,0.5,0.4938,0.4875,0.4813,0.475,0.4688,0.4626,0.4564,0.4502,0.444,0.4378
4ways_mirror,N22145,N91361,0.0066,0.1797,0.8756,0.9954,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,0.0266,0.2447,0.7888,0.9762,0.9976,0.9997,1.0,1.0,1.0,1.0,1.0,0.0671,0.2914,0.6959,0.9246,0.9842,0.9967,0.9993,0.9998,1.0,1.0,1.0,0.1216,0.3193,0.609,0.8345,0.9407,0.9797,0.993,0.9975,0.9991,0.9997,0.9999,0.1756,0.3333,0.5367,0.7256,0.8559,0.9292,0.9661,0.9839,0.9923,0.9962,0.9982,0.22,0.3389,0.4806,0.6235,0.7462,0.838,0.9002,0.9398,0.964,0.9785,0.9872,0.2531,0.3404,0.439,0.5416,0.6398,0.7267,0.7985,0.8546,0.8967,0.9274,0.9492,0.2768,0.34,0.4088,0.4809,0.5533,0.6229,0.6873,0.7448,0.7945,0.8363,0.8708,0.2935,0.3389,0.3872,0.4376,0.489,0.5403,0.5905,0.6386,0.6839,0.7257,0.7636,0.3052,0.3377,0.3717,0.407,0.443,0.4795,0.5161,0.5523,0.5879,0.6224,0.6556,0.3134,0.3367,0.3607,0.3854,0.4107,0.4363,0.4622,0.4882,0.5143,0.5401,0.5657,0.3192,0.3358,0.3529,0.3703,0.388,0.406,0.4242,0.4425,0.461,0.4795,0.4981
4ways_mirror,N22145,N78667,0.0066,0.0148,0.0059,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.041,0.0222,0.0046,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0671,0.0811,0.0539,0.0199,0.0059,0.0017,0.0005,0.0001,0.0,0.0,0.0,0.1216,0.128,0.0979,0.0538,0.0243,0.0101,0.0041,0.0017,0.0007,0.0003,0.0001,0.1756,0.1734,0.1452,0.1021,0.0627,0.0354,0.0191,0.0101,0.0053,0.0028,0.0014,0.22,0.2124,0.1887,0.1535,0.1151,0.081,0.0545,0.0357,0.0229,0.0146,0.0092,0.2531,0.2437,0.225,0.1987,0.1681,0.1366,0.1075,0.0824,0.0619,0.0458,0.0336,0.2768,0.2677,0.2535,0.2348,0.2127,0.1885,0.1638,0.1398,0.1174,0.0973,0.0798,0.2935,0.2856,0.2751,0.262,0.2468,0.2298,0.2117,0.193,0.1742,0.1558,0.1382,0.3052,0.2989,0.2911,0.282,0.2717,0.2603,0.2479,0.2348,0.2211,0.2072,0.1931,0.3134,0.3085,0.3029,0.2965,0.2895,0.2818,0.2736,0.2648,0.2556,0.246,0.2361,0.3192,0.3155,0.3114,0.307,0.3022,0.297,0.2915,0.2857,0.2796,0.2732,0.2666
4ways_mirror,N22145,N30701,0.9867,0.8055,0.1185,0.0041,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.9468,0.7143,0.189,0.0192,0.0016,0.0001,0.0,0.0,0.0,0.0,0.0,0.8658,0.6275,0.2502,0.0555,0.0099,0.0017,0.0003,0.0,0.0,0.0,0.0,0.7568,0.5526,0.2931,0.1117,0.035,0.0101,0.0029,0.0008,0.0002,0.0001,0.0,0.6489,0.4933,0.3181,0.1723,0.0814,0.0354,0.0147,0.006,0.0024,0.001,0.0004,0.5601,0.4486,0.3307,0.223,0.1388,0.081,0.0452,0.0246,0.0131,0.0069,0.0036,0.4938,0.416,0.336,0.2596,0.1921,0.1366,0.094,0.063,0.0414,0.0268,0.0172,0.4464,0.3924,0.3377,0.2843,0.234,0.1885,0.1489,0.1154,0.0881,0.0664,0.0495,0.4131,0.3755,0.3377,0.3004,0.2643,0.2298,0.1977,0.1683,0.1419,0.1185,0.0982,0.3897,0.3634,0.3371,0.311,0.2853,0.2603,0.2361,0.2129,0.191,0.1704,0.1513,0.3732,0.3548,0.3364,0.318,0.2998,0.2818,0.2642,0.2469,0.2301,0.2139,0.1982,0.3617,0.3487,0.3357,0.3227,0.3098,0.297,0.2843,0.2718,0.2594,0.2472,0.2353
4ways_mirror,N71364,N79447,0.0067,0.0474,0.2689,0.7311,0.9526,0.9933,0.9991,0.9999,1.0,1.0,1.0,0.0273,0.105,0.3287,0.6713,0.895,0.9727,0.9933,0.9984,0.9996,0.9999,1.0,0.0719,0.1773,0.3748,0.6252,0.8227,0.9281,0.9729,0.9901,0.9964,0.9987,0.9995,0.1385,0.2503,0.4096,0.5904,0.7497,0.8615,0.9282,0.9641,0.9824,0.9914,0.9959,0.213,0.3134,0.435,0.565,0.6866,0.787,0.8618,0.9132,0.9466,0.9677,0.9806,0.282,0.3634,0.4534,0.5466,0.6366,0.718,0.7872,0.8432,0.8866,0.9191,0.9429,0.3388,0.4011,0.4666,0.5334,0.5989,0.6612,0.7183,0.7691,0.8131,0.8504,0.8814,0.3827,0.4288,0.4761,0.5239,0.5712,0.6173,0.6613,0.7027,0.7411,0.7761,0.8075,0.4154,0.4489,0.4829,0.5171,0.5511,0.5846,0.6174,0.6492,0.6796,0.7087,0.7361,0.4392,0.4634,0.4878,0.5122,0.5366,0.5608,0.5847,0.6083,0.6313,0.6537,0.6755,0.4564,0.4738,0.4913,0.5087,0.5262,0.5436,0.5609,0.578,0.595,0.6117,0.6282,0.4688,0.4813,0.4938,0.5062,0.5187,0.5312,0.5436,0.556,0.5683,0.5805,0.5927
4ways_mirror,N71364,N18846,0.9933,0.9526,0.7311,0.2689,0.0474,0.0067,0.0009,0.0001,0.0,0.0,0.0,0.9727,0.895,0.6713,0.3287,0.105,0.0273,0.0067,0.0016,0.0004,0.0001,0.0,0.9281,0.8227,0.6252,0.3748,0.1773,0.0719,0.0271,0.0099,0.0036,0.0013,0.0005,0.8615,0.7497,0.5904,0.4096,0.2503,0.1385,0.0718,0.0359,0.0176,0.0086,0.0041,0.787,0.6866,0.565,0.435,0.3134,0.213,0.1382,0.0868,0.0534,0.0323,0.0194,0.718,0.6366,0.5466,0.4534,0.3634,0.282,0.2128,0.1568,0.1134,0.0809,0.0571,0.6612,0.5989,0.5334,0.4666,0.4011,0.3388,0.2817,0.2309,0.1869,0.1496,0.1186,0.6173,0.5712,0.5239,0.4761,0.4288,0.3827,0.3387,0.2973,0.2589,0.2239,0.1925,0.5846,0.5511,0.5171,0.4829,0.4489,0.4154,0.3826,0.3508,0.3204,0.2913,0.2639,0.5608,0.5366,0.5122,0.4878,0.4634,0.4392,0.4153,0.3917,0.3687,0.3463,0.3245,0.5436,0.5262,0.5087,0.4913,0.4738,0.4564,0.4391,0.422,0.405,0.3883,0.3718,0.5312,0.5187,0.5062,0.4938,0.4813,0.4688,0.4564,0.444,0.4317,0.4195,0.4073
4ways_mirror,N60588,N60795,0.0,0.0001,0.0003,0.0009,0.0025,0.0067,0.018,0.0474,0.1192,0.2689,0.5,0.0008,0.0016,0.0033,0.0067,0.0136,0.0273,0.0543,0.105,0.1933,0.3287,0.5,0.006,0.0099,0.0164,0.0271,0.0444,0.0719,0.1145,0.1773,0.2644,0.3748,0.5,0.0252,0.0359,0.0509,0.0718,0.1003,0.1385,0.1881,0.2503,0.3249,0.4096,0.5,0.0682,0.0868,0.1099,0.1382,0.1724,0.213,0.26,0.3134,0.3722,0.435,0.5,0.1336,0.1568,0.1831,0.2128,0.2457,0.282,0.3213,0.3634,0.4076,0.4534,0.5,0.208,0.2309,0.2555,0.2817,0.3096,0.3388,0.3694,0.4011,0.4336,0.4666,0.5,0.2777,0.2973,0.3176,0.3387,0.3604,0.3827,0.4055,0.4288,0.4523,0.4761,0.5,0.3354,0.3508,0.3666,0.3826,0.3989,0.4154,0.432,0.4489,0.4659,0.4829,0.5,0.3802,0.3917,0.4035,0.4153,0.4272,0.4392,0.4513,0.4634,0.4756,0.4878,0.5,0.4135,0.422,0.4305,0.4391,0.4478,0.4564,0.4651,0.4738,0.4825,0.4913,0.5,0.4378,0.444,0.4502,0.4564,0.4626,0.4688,0.475,0.4813,0.4875,0.4938,0.5
4ways_mirror,N60588,N29964,1.0,0.9999,0.9997,0.9991,0.9975,0.9933,0.982,0.9526,0.8808,0.7311,0.5,0.9992,0.9984,0.9967,0.9933,0.9864,0.9727,0.9457,0.895,0.8067,0.6713,0.5,0.994,0.9901,0.9836,0.9729,0.9556,0.9281,0.8855,0.8227,0.7356,0.6252,0.5,0.9748,0.9641,0.9491,0.9282,0.8997,0.8615,0.8119,0.7497,0.6751,0.5904,0.5,0.9318,0.9132,0.8901,0.8618,0.8276,0.787,0.74,0.6866,0.6278,0.565,0.5,0.8664,0.8432,0.8169,0.7872,0.7543,0.718,0.6787,0.6366,0.5924,0.5466,0.5,0.792,0.7691,0.7445,0.7183,0.6904,0.6612,0.6306,0.5989,0.5664,0.5334,0.5,0.7223,0.7027,0.6824,0.6613,0.6396,0.6173,0.5945,0.5712,0.5477,0.5239,0.5,0.6646,0.6492,0.6334,0.6174,0.6011,0.5846,0.568,0.5511,0.5341,0.5171,0.5,0.6198,0.6083,0.5965,0.5847,0.5728,0.5608,0.5487,0.5366,0.5244,0.5122,0.5,0.5865,0.578,0.5695,0.5609,0.5522,0.5436,0.5349,0.5262,0.5175,0.5087,0.5,0.5622,0.556,0.5498,0.5436,0.5374,0.5312,0.525,0.5187,0.5125,0.5062,0.5
4ways_mirror,N23137,N74083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9996,0.9997,0.9998,0.9998,0.9999,0.9999,0.9999,0.9999,1.0,1.0,0.9959,0.9966,0.9971,0.9976,0.998,0.9983,0.9986,0.9988,0.999,0.9992,0.9993,0.9806,0.9829,0.985,0.9868,0.9884,0.9898,0.991,0.9921,0.9931,0.9939,0.9947,0.9429,0.9477,0.9522,0.9562,0.96,0.9634,0.9666,0.9695,0.9721,0.9745,0.9768,0.8814,0.8882,0.8946,0.9008,0.9066,0.9121,0.9173,0.9222,0.9269,0.9313,0.9355,0.8075,0.8148,0.822,0.8288,0.8355,0.842,0.8482,0.8543,0.8601,0.8658,0.8712,0.7361,0.7427,0.7491,0.7555,0.7618,0.7679,0.774,0.7799,0.7857,0.7914,0.797,0.6755,0.6809,0.6862,0.6914,0.6966,0.7017,0.7068,0.7119,0.7168,0.7218,0.7267,0.6282,0.6322,0.6363,0.6403,0.6444,0.6483,0.6523,0.6563,0.6602,0.6641,0.668,0.5927,0.5957,0.5987,0.6017,0.6047,0.6077,0.6106,0.6136,0.6166,0.6195,0.6225
4ways_mirror,N23137,N52837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0004,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0041,0.0034,0.0029,0.0024,0.002,0.0017,0.0014,0.0012,0.001,0.0008,0.0007,0.0194,0.0171,0.015,0.0132,0.0116,0.0102,0.009,0.0079,0.0069,0.0061,0.0053,0.0571,0.0523,0.0478,0.0438,0.04,0.0366,0.0334,0.0305,0.0279,0.0255,0.0232,0.1186,0.1118,0.1054,0.0992,0.0934,0.0879,0.0827,0.0778,0.0731,0.0687,0.0645,0.1925,0.1852,0.178,0.1712,0.1645,0.158,0.1518,0.1457,0.1399,0.1342,0.1288,0.2639,0.2573,0.2509,0.2445,0.2382,0.2321,0.226,0.2201,0.2143,0.2086,0.203,0.3245,0.3191,0.3138,0.3086,0.3034,0.2983,0.2932,0.2881,0.2832,0.2782,0.2733,0.3718,0.3678,0.3637,0.3597,0.3556,0.3517,0.3477,0.3437,0.3398,0.3359,0.332,0.4073,0.4043,0.4013,0.3983,0.3953,0.3923,0.3894,0.3864,0.3834,0.3805,0.3775
4ways_mirror,N79304,N96924,0.9933,0.9985,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9727,0.9905,0.9967,0.9989,0.9996,0.9999,1.0,1.0,1.0,1.0,1.0,0.9281,0.9653,0.9836,0.9923,0.9964,0.9983,0.9992,0.9996,0.9998,0.9999,1.0,0.8615,0.915,0.9491,0.9699,0.9824,0.9898,0.9941,0.9966,0.998,0.9988,0.9993,0.787,0.8454,0.8901,0.923,0.9466,0.9633,0.9749,0.9829,0.9884,0.9921,0.9947,0.718,0.7712,0.8169,0.8552,0.8866,0.9119,0.9319,0.9477,0.96,0.9695,0.9768,0.6612,0.7045,0.7445,0.7808,0.8131,0.8417,0.8666,0.8882,0.9066,0.9222,0.9355,0.6173,0.6505,0.6824,0.7126,0.7411,0.7676,0.7922,0.8148,0.8355,0.8543,0.8712,0.5846,0.6093,0.6334,0.6569,0.6796,0.7016,0.7226,0.7427,0.7618,0.7799,0.797,0.5608,0.5788,0.5965,0.6141,0.6313,0.6482,0.6647,0.6809,0.6966,0.7119,0.7267,0.5436,0.5566,0.5695,0.5823,0.595,0.6075,0.62,0.6322,0.6444,0.6563,0.668,0.5312,0.5405,0.5498,0.5591,0.5683,0.5775,0.5866,0.5957,0.6047,0.6136,0.6225
4ways_mirror,N79304,N54084,0.0067,0.0015,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273,0.0095,0.0033,0.0011,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0719,0.0347,0.0164,0.0077,0.0036,0.0017,0.0008,0.0004,0.0002,0.0001,0.0,0.1385,0.085,0.0509,0.0301,0.0176,0.0102,0.0059,0.0034,0.002,0.0012,0.0007,0.213,0.1546,0.1099,0.077,0.0534,0.0367,0.0251,0.0171,0.0116,0.0079,0.0053,0.282,0.2288,0.1831,0.1448,0.1134,0.0881,0.0681,0.0523,0.04,0.0305,0.0232,0.3388,0.2955,0.2555,0.2192,0.1869,0.1583,0.1334,0.1118,0.0934,0.0778,0.0645,0.3827,0.3495,0.3176,0.2874,0.2589,0.2324,0.2078,0.1852,0.1645,0.1457,0.1288,0.4154,0.3907,0.3666,0.3431,0.3204,0.2984,0.2774,0.2573,0.2382,0.2201,0.203,0.4392,0.4212,0.4035,0.3859,0.3687,0.3518,0.3353,0.3191,0.3034,0.2881,0.2733,0.4564,0.4434,0.4305,0.4177,0.405,0.3925,0.38,0.3678,0.3556,0.3437,0.332,0.4688,0.4595,0.4502,0.4409,0.4317,0.4225,0.4134,0.4043,0.3953,0.3864,0.3775
4ways_mirror,N37493,N63557,0.0,0.0,0.0025,0.1824,0.9526,0.9994,1.0,1.0,1.0,1.0,1.0,0.0,0.0006,0.0136,0.2551,0.895,0.9953,0.9998,1.0,1.0,1.0,1.0,0.0005,0.0046,0.0444,0.3171,0.8227,0.9789,0.9978,0.9998,1.0,1.0,1.0,0.0041,0.0211,0.1003,0.3662,0.7497,0.9395,0.9877,0.9976,0.9995,0.9999,1.0,0.0194,0.0604,0.1724,0.4032,0.6866,0.8766,0.9584,0.9868,0.9959,0.9987,0.9996,0.0571,0.1232,0.2457,0.4304,0.6366,0.8025,0.904,0.9562,0.9806,0.9916,0.9963,0.1186,0.1972,0.3096,0.45,0.5989,0.7316,0.8326,0.9008,0.9431,0.968,0.9822,0.1925,0.2682,0.3604,0.4642,0.5712,0.6719,0.759,0.8288,0.8816,0.9197,0.9462,0.2639,0.3278,0.3989,0.4744,0.5511,0.6255,0.6943,0.7555,0.8078,0.8511,0.8861,0.3245,0.3744,0.4272,0.4817,0.5366,0.5907,0.6426,0.6914,0.7363,0.7767,0.8125,0.3718,0.4092,0.4478,0.4869,0.5262,0.5652,0.6034,0.6403,0.6757,0.7092,0.7405,0.4073,0.4347,0.4626,0.4906,0.5187,0.5467,0.5744,0.6017,0.6283,0.6542,0.6792
