"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"Cells",-60.5821060271769,7.0884,NA,NA,0,NA,NA,NA,"S8262270","Heuristic"
"Cells-Num",-60.396314317094,1.3256,NA,NA,0,0.1,NA,NA,"S8262270","Heuristic"
"DU",-43.4453295080487,1.0194,0.14,1,NA,NA,NA,NA,"S8262270","Planning"
"DU-Num",-44.1635371419323,0.4,0.08,1,NA,1.42,NA,NA,"S8262270","Planning"
"EU",-49.3235090457377,3.3914,1,1,NA,NA,NA,NA,"S8262270","Planning"
"EU-Num",-49.3230726503566,3.3914,1,1,NA,10,NA,NA,"S8262270","Planning"
"PW",-35.9653310527445,1.2404,1,0.1346,NA,NA,NA,NA,"S8262270","Planning"
"PW_DU",-41.9065371363803,0.912,0.238,0.119,NA,NA,NA,NA,"S8262270","Planning"
"Random",-59.4577381531257,1,NA,NA,NA,NA,NA,NA,"S8262270","Heuristic"
"Sampling",-43.5551400336584,NA,NA,NA,NA,NA,9.2,2.6,"S8262270","Planning"
"Steps",-40.9717249084319,1.1898,NA,NA,1,NA,NA,NA,"S8262270","Heuristic"
"Steps-Cells",-41.364514998207,1.1046,NA,NA,0.94,NA,NA,NA,"S8262270","Heuristic"
"Steps-Cells-Num",-41.5945731571339,0.232,NA,NA,0.92,0.18,NA,NA,"S8262270","Heuristic"
"Steps-Num",-40.8735843626253,0.248,NA,NA,1,0.18,NA,NA,"S8262270","Heuristic"
"Cells",-69.2353973731268,7.5442,NA,NA,0,NA,NA,NA,"S55866293","Heuristic"
"Cells-Num",-69.3014176699738,1.53,NA,NA,0,0.1,NA,NA,"S55866293","Heuristic"
"DU",-34.2570622755881,0.7214,0.16,1,NA,NA,NA,NA,"S55866293","Planning"
"DU-Num",-34.928188075785,0.6778,0.16,1,NA,8.4,NA,NA,"S55866293","Planning"
"EU",-48.0407274206938,2.7584,1,1,NA,NA,NA,NA,"S55866293","Planning"
"EU-Num",-48.0402290302525,2.7584,1,1,NA,10,NA,NA,"S55866293","Planning"
"PW",-33.3753546771968,1.009,1,0.1,NA,NA,NA,NA,"S55866293","Planning"
"PW_DU",-32.6296472735293,0.5906,0.12,0.1,NA,NA,NA,NA,"S55866293","Planning"
"Random",-68.2990524786106,1,NA,NA,NA,NA,NA,NA,"S55866293","Heuristic"
"Sampling",-43.7729520166484,NA,NA,NA,NA,NA,26,1.4,"S55866293","Planning"
"Steps",-32.6897348863304,0.384,NA,NA,1,NA,NA,NA,"S55866293","Heuristic"
"Steps-Cells",-32.6859306012808,0.3306,NA,NA,0.88,NA,NA,NA,"S55866293","Heuristic"
"Steps-Cells-Num",-32.1971522961194,0.2,NA,NA,0.88,1.34,NA,NA,"S55866293","Heuristic"
"Steps-Num",-32.5457291295888,0.2,NA,NA,1,1.6,NA,NA,"S55866293","Heuristic"
"Cells",-71.5782883725318,5.8508,NA,NA,0,NA,NA,NA,"S90214098","Heuristic"
"Cells-Num",-71.8222308357196,1.0942,NA,NA,0,0.1,NA,NA,"S90214098","Heuristic"
"DU",-28.5882759546371,0.5906,0.68,1,NA,NA,NA,NA,"S90214098","Planning"
"DU-Num",-28.1935407468114,0.3306,0.54,1,NA,1.6,NA,NA,"S90214098","Planning"
"EU",-34.4336895218559,1.3256,1,1,NA,NA,NA,NA,"S90214098","Planning"
"EU-Num",-34.5136563883899,1.3256,1,1,NA,6.6,NA,NA,"S90214098","Planning"
"PW",-25.2724092139115,0.5158,1,0.4088,NA,NA,NA,NA,"S90214098","Planning"
"PW_DU",-25.9873599395379,0.5158,0.934,0.4386,NA,NA,NA,NA,"S90214098","Planning"
"Random",-71.0844637408503,1,NA,NA,NA,NA,NA,NA,"S90214098","Heuristic"
"Sampling",-43.3364610522961,NA,NA,NA,NA,NA,202,14.8,"S90214098","Planning"
"Steps",-42.217280451172,1.3498,NA,NA,1,NA,NA,NA,"S90214098","Heuristic"
"Steps-Cells",-46.4900594751017,1.0194,NA,NA,0.7,NA,NA,NA,"S90214098","Heuristic"
"Steps-Cells-Num",-40.9073123583633,0.216,NA,NA,0.72,0.26,NA,NA,"S90214098","Heuristic"
"Steps-Num",-39.5536710586267,0.3396,NA,NA,1,0.26,NA,NA,"S90214098","Heuristic"
"Cells",-50.3218842367094,3.3914,NA,NA,0,NA,NA,NA,"S11072898","Heuristic"
"Cells-Num",-50.2103401924024,0.6778,NA,NA,0,0.1,NA,NA,"S11072898","Heuristic"
"DU",-34.5045866063312,0.5212,0.04,1,NA,NA,NA,NA,"S11072898","Planning"
"DU-Num",-35.6359997691592,0.4464,0.04,1,NA,6.7,NA,NA,"S11072898","Planning"
"EU",-40.6548892261179,3.3914,1,1,NA,NA,NA,NA,"S11072898","Planning"
"EU-Num",-40.6546758707734,3.3914,1,1,NA,10,NA,NA,"S11072898","Planning"
"PW",-29.8531643691141,1.3256,1,0.1268,NA,NA,NA,NA,"S11072898","Planning"
"PW_DU",-29.2302146420816,0.4464,0.04,0.1,NA,NA,NA,NA,"S11072898","Planning"
"Random",-50.3932802763266,1,NA,NA,NA,NA,NA,NA,"S11072898","Heuristic"
"Sampling",-44.2130323076495,NA,NA,NA,NA,NA,96.4,14,"S11072898","Planning"
"Steps",-26.7971425397087,0.4152,NA,NA,1,NA,NA,NA,"S11072898","Heuristic"
"Steps-Cells",-28.9377162809104,0.3306,NA,NA,0.82,NA,NA,NA,"S11072898","Heuristic"
"Steps-Cells-Num",-28.1912876466759,0.2,NA,NA,0.82,1.7,NA,NA,"S11072898","Heuristic"
"Steps-Num",-26.5284336601884,0.2,NA,NA,1,1.6,NA,NA,"S11072898","Heuristic"
"Cells",-61.5870081019699,4.8358,NA,NA,0,NA,NA,NA,"S26919187","Heuristic"
"Cells-Num",-61.7278697526825,1.0332,NA,NA,0,0.1,NA,NA,"S26919187","Heuristic"
"DU",-31.2490810768249,0.9044,0.81,1,NA,NA,NA,NA,"S26919187","Planning"
"DU-Num",-31.3116904347851,0.9044,0.81,1,NA,7,NA,NA,"S26919187","Planning"
"EU",-24.5861153264201,1.07,1,1,NA,NA,NA,NA,"S26919187","Planning"
"EU-Num",-24.8207860272229,1.07,1,1,NA,5.84,NA,NA,"S26919187","Planning"
"PW",-27.6608924467849,0.948,1,0.6654,NA,NA,NA,NA,"S26919187","Planning"
"PW_DU",-33.3822415746053,0.8732,0.844,0.8048,NA,NA,NA,NA,"S26919187","Planning"
"Random",-61.1316145816971,1,NA,NA,NA,NA,NA,NA,"S26919187","Heuristic"
"Sampling",-29.8350351116038,NA,NA,NA,NA,NA,660,22.8,"S26919187","Planning"
"Steps",-31.5183557689919,0.6778,NA,NA,1,NA,NA,NA,"S26919187","Heuristic"
"Steps-Cells",-34.2818057758573,0.603,NA,NA,0.86,NA,NA,NA,"S26919187","Heuristic"
"Steps-Cells-Num",-35.1932768926388,0.2,NA,NA,0.88,0.34,NA,NA,"S26919187","Heuristic"
"Steps-Num",-32.9753390529116,0.216,NA,NA,1,0.26,NA,NA,"S26919187","Heuristic"
"Cells",-69.100107185455,6.6326,NA,NA,0,NA,NA,NA,"S91003663","Heuristic"
"Cells-Num",-69.3892861268846,1.4108,NA,NA,0,0.1,NA,NA,"S91003663","Heuristic"
"DU",-31.9977357144484,0.887,0.57,1,NA,NA,NA,NA,"S91003663","Planning"
"DU-Num",-31.2522862767432,0.4534,0.4,1,NA,1.5,NA,NA,"S91003663","Planning"
"EU",-38.4004643686399,1.7344,1,1,NA,NA,NA,NA,"S91003663","Planning"
"EU-Num",-38.4007467528588,1.7344,1,1,NA,10,NA,NA,"S91003663","Planning"
"PW",-30.6411276499935,0.826,1,0.3142,NA,NA,NA,NA,"S91003663","Planning"
"PW_DU",-30.2403337106709,0.765,0.74,0.5698,NA,NA,NA,NA,"S91003663","Planning"
"Random",-68.7046175917191,1,NA,NA,NA,NA,NA,NA,"S91003663","Heuristic"
"Sampling",-47.8867253799648,NA,NA,NA,NA,NA,160,16,"S91003663","Planning"
"Steps",-42.7904636713331,1.2646,NA,NA,1,NA,NA,NA,"S91003663","Heuristic"
"Steps-Cells",-43.2753013075882,1.1794,NA,NA,0.96,NA,NA,NA,"S91003663","Heuristic"
"Steps-Cells-Num",-42.8990501459241,0.3084,NA,NA,0.96,0.26,NA,NA,"S91003663","Heuristic"
"Steps-Num",-42.3936066897022,0.3396,NA,NA,1,0.26,NA,NA,"S91003663","Heuristic"
"Cells",-60.9840249500395,4.417,NA,NA,0,NA,NA,NA,"S13889785","Heuristic"
"Cells-Num",-61.4471848575615,0.887,NA,NA,0,0.1,NA,NA,"S13889785","Heuristic"
"DU",-33.386660088118,0.6154,0.72,1,NA,NA,NA,NA,"S13889785","Planning"
"DU-Num",-33.5290968764656,0.6154,0.72,1,NA,4.88,NA,NA,"S13889785","Planning"
"EU",-28.016980403836,0.9654,1,1,NA,NA,NA,NA,"S13889785","Planning"
"EU-Num",-28.1003118896012,0.9654,1,1,NA,6.6,NA,NA,"S13889785","Planning"
"PW",-24.875291534719,0.6902,1,0.528,NA,NA,NA,NA,"S13889785","Planning"
"PW_DU",-32.9791081441583,0.6154,0.778,0.7534,NA,NA,NA,NA,"S13889785","Planning"
"Random",-61.5371796948056,1,NA,NA,NA,NA,NA,NA,"S13889785","Heuristic"
"Sampling",-29.2803952055753,NA,NA,NA,NA,NA,600,18.8,"S13889785","Planning"
"Steps",-34.6954967049386,0.4776,NA,NA,1,NA,NA,NA,"S13889785","Heuristic"
"Steps-Cells",-36.0962345510815,0.4776,NA,NA,0.9,NA,NA,NA,"S13889785","Heuristic"
"Steps-Cells-Num",-35.4324492376101,0.2,NA,NA,0.92,1.6,NA,NA,"S13889785","Heuristic"
"Steps-Num",-34.875808510754,0.232,NA,NA,1,1.6,NA,NA,"S13889785","Heuristic"
"Cells",-63.8511343889237,8,NA,NA,0,NA,NA,NA,"S11828520","Heuristic"
"Cells-Num",-63.8772345240359,2.1394,NA,NA,0,0.1,NA,NA,"S11828520","Heuristic"
"DU",-43.225775116592,1.469,0.28,1,NA,NA,NA,NA,"S11828520","Planning"
"DU-Num",-45.7498972566968,0.3992,0.04,1,NA,2.16,NA,NA,"S11828520","Planning"
"EU",-48.3243941072851,2.925,1,1,NA,NA,NA,NA,"S11828520","Planning"
"EU-Num",-48.3240543126184,2.925,1,1,NA,10,NA,NA,"S11828520","Planning"
"PW",-37.6046211068041,1.6152,1,0.1,NA,NA,NA,NA,"S11828520","Planning"
"PW_DU",-43.7858018955912,1.469,0.726,0.1,NA,NA,NA,NA,"S11828520","Planning"
"Random",-62.6487145284739,1,NA,NA,NA,NA,NA,NA,"S11828520","Heuristic"
"Sampling",-45.4067959573599,NA,NA,NA,NA,NA,7.4,1.8,"S11828520","Planning"
"Steps",-46.4695942453284,1.7518,NA,NA,1,NA,NA,NA,"S11828520","Heuristic"
"Steps-Cells",-46.4695942453284,1.7518,NA,NA,1,NA,NA,NA,"S11828520","Heuristic"
"Steps-Cells-Num",-45.8138274217456,0.3084,NA,NA,1,0.18,NA,NA,"S11828520","Heuristic"
"Steps-Num",-45.8138274217456,0.3084,NA,NA,1,0.18,NA,NA,"S11828520","Heuristic"
"Cells",-71.237391615362,8,NA,NA,0,NA,NA,NA,"S72365768","Heuristic"
"Cells-Num",-71.2675920225203,2.1394,NA,NA,0,0.1,NA,NA,"S72365768","Heuristic"
"DU",-31.1454321615202,0.6778,0.32,1,NA,NA,NA,NA,"S72365768","Planning"
"DU-Num",-32.6396160068676,0.3014,0.2,1,NA,2.4,NA,NA,"S72365768","Planning"
"EU",-46.7265732755172,2.4252,1,1,NA,NA,NA,NA,"S72365768","Planning"
"EU-Num",-46.7269820714812,2.4252,1,1,NA,10,NA,NA,"S72365768","Planning"
"PW",-32.4282498365763,0.887,1,0.1078,NA,NA,NA,NA,"S72365768","Planning"
"PW_DU",-31.9885387022819,0.6342,0.24,1.4948,NA,NA,NA,NA,"S72365768","Planning"
"Random",-70.090911952839,1,NA,NA,NA,NA,NA,NA,"S72365768","Heuristic"
"Sampling",-70.0094561758609,NA,NA,NA,NA,NA,12.2,5.2,"S72365768","Planning"
"Steps",-37.224245387055,0.9044,NA,NA,1,NA,NA,NA,"S72365768","Heuristic"
"Steps-Cells",-37.746202342717,0.8434,NA,NA,0.98,NA,NA,NA,"S72365768","Heuristic"
"Steps-Cells-Num",-34.9351055477833,0.248,NA,NA,1,0.34,NA,NA,"S72365768","Heuristic"
"Steps-Num",-34.9351055477833,0.248,NA,NA,1,0.34,NA,NA,"S72365768","Heuristic"
"Cells",-63.0734968789736,4.1838,NA,NA,0,NA,NA,NA,"S16551838","Heuristic"
"Cells-Num",-63.3874623748489,0.9654,NA,NA,0,0.1,NA,NA,"S16551838","Heuristic"
"DU",-33.6154795645099,0.948,0.62,1,NA,NA,NA,NA,"S16551838","Planning"
"DU-Num",-31.0202535565288,0.547,0.5,1,NA,1.5,NA,NA,"S16551838","Planning"
"EU",-41.0388442837544,1.8536,1,1,NA,NA,NA,NA,"S16551838","Planning"
"EU-Num",-41.0905458514883,1.8536,1,1,NA,8.4,NA,NA,"S16551838","Planning"
"PW",-33.6760920520411,1.009,1,0.3656,NA,NA,NA,NA,"S16551838","Planning"
"PW_DU",-33.8192459372069,0.948,0.69,0.7818,NA,NA,NA,NA,"S16551838","Planning"
"Random",-62.753875034131,1,NA,NA,NA,NA,NA,NA,"S16551838","Heuristic"
"Sampling",-59.8147706174001,NA,NA,NA,NA,NA,56.2,11.6,"S16551838","Planning"
"Steps",-39.9731931792736,1.4108,NA,NA,1,NA,NA,NA,"S16551838","Heuristic"
"Steps-Cells",-40.759225755813,0.948,NA,NA,0.66,NA,NA,NA,"S16551838","Heuristic"
"Steps-Cells-Num",-42.010009482004,0.216,NA,NA,0.7,0.18,NA,NA,"S16551838","Heuristic"
"Steps-Num",-40.768380109201,0.264,NA,NA,1,0.1,NA,NA,"S16551838","Heuristic"
"Cells",-51.9231710002145,4.743,NA,NA,0,NA,NA,NA,"S26285028","Heuristic"
